Posted By ,Location ,Position ,Salary 
Eames Consulting Group,London,Junior Python Developer,"£35,000 - £40,000 per annum"
Opus Recruitment Solutions Ltd,London,Junior Python Developer,£100.00 - £120.00 per day
ITECCO,London,Junior Python Developer,"£25,000 - £35,000 per annum"
Hays Specialist Recruitment Limited,London,Junior  Python Developer,"£40,000 - £60,000 per annum"
Blackthorn Trace,London,Python Developer Junior,"£30,000 - £36,000 per annum"
Aggregator Network,London,Junior Python Developer,Competitive salary
McGregor Boyall,London,Python Developer - Associate to Junior VP,"£60,000 - £95,000 per annum, inc benefits, OTE"
Noir,London,"Graduate / Junior Developer, Python, JavaScript, PHP - London","£35,000 - £50,000 per annum"
Noir,London,"Graduate / Junior Developer, Python, Linux, C#, Java - London","£30,000 - £40,000 per annum"
Understanding Recruitment,London,Junior Java Developer - Trading,"£50,000 - £60,000 per annum"
Graduate Launchpad,London,Junior Developer,"£38,000 - £52,000 per annum"
Harnham,London,Principle Python Developer,"£90,000 - £100,000 per annum"
Aggregator Network,London,Junior Quant Developer,Competitive salary
Client Server Ltd.,London,Python Developer - Finance,"£80,000 - £90,000 per annum"
Graduate Launchpad,London,Graduate Python Developer,"£28,000 - £35,000 per annum"
Marks Sattin recruitment,London,Senior Python Developer - FinTech,"£70,000 - £80,000 per annum"
Client Server Ltd.,London,Python Developer / Backend Software Engineer,"£80,000 - £90,000 per annum"
Harnham,London,Python Developer,"£50,000 - £65,000 per annum"
Anglo American,London,Developer,Salary negotiable
Harnham,London,Python Developer,"£50,000 - £65,000 per annum"
Understanding Recruitment,London,Java Developer - Trading Crypto,"£50,000 - £60,000 per annum"
Client Server Ltd.,London,Backend Developer Python Real-time Data,"£80,000 - £90,000 per annum"
Understanding Recruitment,London,Java Developer - Trading Startup Crypto,"£50,000 - £60,000 per annum"
Client Server Ltd.,London,Junior Software Engineer Java Maths,"£55,000 - £70,000 per annum"
Harnham,London,Junior Data Engineer/Developer,"£30,000 - £40,000 per annum"
